strike_rate,balls_bowled,inning2_balls,umpire2,team1_winp_team2_last15,umpire1,bowler_details,Fours,by,inning1_wickets,is_bowler_keeper,batsman_details,Sixes,inning2_runs,inning2_wickets,over_faced_first,inning1_runs,toss decision,maiden,dots,noballs,team2_roster_ids,is_batsman_captain,team1_id,team_winp_last5,inning1_balls,runs,team1,match_dt,is_bowler_captain,winner_id,bowler_id,win amount,toss winner,wides,season,team_count_50runs_last15,winner,out_by_fielder,series_name,venue,bowler,team1only_avg_runs_last15,is_batsman_keeper,ground_id,team2_id,batsman_id,series_type,team1_roster_ids,match id,balls_faced,out_by_bowler,economy,team2,batsman,wicket kind,player_of_the_match_id,wicket_count,ground_avg_runs_last15,lighting,city,inning
140.0,,,,,,NZ:Left-hand bat:Right-arm medium-fast:,1.0,,,0.0,NZ:Right-hand bat:Right-arm medium-fast:,,,,1.1,,,,,,,0.0,,,,7,,2021-01-01,0.0,,2486896.0,,,,,,,TM Jn,,,,,0.0,,,7907451.0,,,8638034,5,JS Nm,,,KD Ce,caught,,,,,,1
100.0,,,,,,NZ:Left-hand bat:Slow left-arm orthodox:,4.0,,,0.0,NZ:Right-hand bat:None:,1.0,,,1.2,,,,,,,0.0,,,,46,,2021-01-01,0.0,,6718382.0,,,,,,,MG Bl,,,,,1.0,,,4381761.0,,,8638034,46,R Ra,,,TL St,caught,,,,,,1
90.0,,,,,,NZ:Right-hand bat:Legbreak googly:,,,,0.0,NZ:Right-hand bat:Right-arm offbreak:,,,,12.1,,,,,,,0.0,,,,9,,2021-01-01,0.0,,4950294.0,,,,,,,R Ra,,,,,0.0,,,4949790.0,,,8638034,10,PF Yd,,,HR Cr,caught,,,,,,1
127.27,,,,,,NZ:Left-hand bat:Right-arm medium-fast:,3.0,,,0.0,NZ:Right-hand bat:Right-arm medium-fast:,,,,13.6,,,,,,,0.0,,,,28,,2021-01-01,0.0,,1585464.0,,,,,,,FH An,,,,,0.0,,,3834305.0,,,8638034,22,HK Bt,,,BR Hn,caught,,,,,,1
138.46,,,,,,,,,,,NZ:Right-hand bat:Right-arm fast-medium:,1.0,,,17.2,,,,,,,0.0,,,,18,,2021-01-01,,,,,,,,,,,,,,,0.0,,,3776849.0,,,8638034,13,,,,SC Kn,,,,,,,1
50.0,,,,,,,,,,,NZ:Right-hand bat:Right-arm medium:,,,,20.3,,,,,,,0.0,,,,1,,2021-01-01,,,,,,,,,,,,,,,0.0,,,6718340.0,,,8638034,2,,,,ZN Gn,,,,,,,1
72.73,,,,,,NZ:Left-hand bat:Right-arm medium-fast:,1.0,,,0.0,NZ:Right-hand bat:Right-arm medium:,,,,5.1,,,,,,,0.0,,,,8,,2021-01-01,0.0,,2486896.0,,,,,,,HK Bt,,,,,0.0,,,31464.0,,,8638034,11,JS Nm,,,DG Be,caught,,,,,,1
158.33,,,,,,NED:Right-hand bat:Right-arm medium-fast:,2.0,,,0.0,NZ:Left-hand bat:Slow left-arm orthodox:,1.0,,,8.1,,,,,,,1.0,,,,19,,2021-01-01,0.0,,3083667.0,,,,,,,MG Bl,,,,,0.0,,,258649.0,,,8638034,12,LV vn Bk,,,AP Dh,caught,,,,,,1
86.67,,,,,,NZ:Right-hand bat:Right-arm fast-medium:,1.0,,,0.0,NZ:Left-hand bat:Right-arm medium:,,,,1.1,,,,,,,0.0,,,,13,,2021-01-01,0.0,,3776849.0,,,,,,,ZN Gn,,,,,1.0,,,2653993.0,,,8638034,15,SC Kn,,,DP Cy,caught,,,,,,2
182.0,,,,,,,7.0,,,,NZ:Right-hand bat:None:,5.0,,,1.2,,,,,,,0.0,,,,91,,2021-01-01,,,,,,,,,,,,,,,0.0,,,6718326.0,,,8638034,50,,,,FH An,,,,,,,2
129.03,,,,,,,3.0,,,,NZ:Left-hand bat:Slow left-arm orthodox:,2.0,,,6.1,,,,,,,0.0,,,,40,,2021-01-01,,,,,,,,,,,,,,,0.0,,,6718382.0,,,8638034,31,,,,R Ra,,,,,,,2
138.46,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,1.0,,,0.0,AUS:Right-hand bat:Slow left-arm orthodox:,1.0,,,1.1,,,,,,,1.0,,,,18,,2021-01-01,0.0,,5497274.0,,,,,,,SW Bs,,,,,0.0,,,37351.0,,,8588005,13,N Mw,,,AJ Fh,caught,,,,,,1
181.25,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,5.0,,,0.0,AUS:Left-hand bat:Slow left-arm orthodox:,5.0,,,1.5,,,,,,,0.0,,,,87,,2021-01-01,0.0,,5497274.0,,,,,,,CJ Gn,,,,,0.0,,,46794.0,,,8588005,48,N Mw,,,SE Mh,caught,,,,,,1
200.0,,,,,,,1.0,,,,PAK:Left-hand bat:Slow left-arm orthodox:,,,,16.6,,,,,,,0.0,,,,8,,2021-01-01,,,,,,,,,,,,,,,0.0,,,1594319.0,,,8588005,4,,,,Id Wm,,,,,,,1
50.0,,,,,,AUS:Right-hand bat:Left-arm fast-medium:,,,,0.0,AUS:Left-hand bat:Right-arm medium-fast:,,,,16.7,,,,,,,0.0,,,,1,,2021-01-01,0.0,,5788320.0,,,,,,,,,,,,0.0,,,7534687.0,,,8588005,2,DR Ss,,,MW Hy,bowled,,,,,,1
50.0,,,,,,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,,,,17.2,,,,,,,0.0,,,,1,,2021-01-01,,,,,,,,,,,,,,,0.0,,,7537067.0,,,8588005,2,,,,W Sd,,,,,,,1
116.67,,,,,,AUS:Right-hand bat:Right-arm medium-fast:,1.0,,,0.0,AUS:Right-hand bat:None:,,,,4.1,,,,,,,0.0,,,,7,,2021-01-01,0.0,,3876613.0,,,,,,,O Ds,,,,,1.0,,,5406540.0,,,8588005,6,CP Tn,,,SB Hr,caught,,,,,,1
